ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28640;2022-04-09 18:35:02:557
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28641;2022-04-09 18:35:02:558
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28642;2022-04-09 18:35:02:559
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28643;2022-04-09 18:35:02:560
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28644;2022-04-09 18:35:02:561
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28644;2022-04-09 18:35:02:561
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28644;2022-04-09 18:35:02:561
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28644;2022-04-09 18:35:02:561
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28646;2022-04-09 18:35:02:563
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28647;2022-04-09 18:35:02:564
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
-1.5069;-8.8454;-1.783;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28648;2022-04-09 18:35:02:565
1.3496;-11.0815;-3.6281;-3.8995;3.4445;-0.488;-0.1303;-0.146;-0.2118;28683;2022-04-09 18:35:02:600
-3.8913;-14.2621;-3.0096;-3.3278;-0.7096;0.0963;-2.8928;-1.9903;-2.19;28783;2022-04-09 18:35:02:700
-2.4709;-6.0852;-0.2512;-5.6322;-4.6542;6.2087;-1.2131;-1.729;-0.3702;28883;2022-04-09 18:35:02:800
-1.7623;-5.0761;1.4282;-0.2622;3.9353;4.9728;0.4465;-0.7127;0.2488;28983;2022-04-09 18:35:02:900
0.6425;-10.0038;-7.3038;0.9036;3.3074;1.6316;0.3726;-1.2438;0.6217;29083;2022-04-09 18:35:03:000
-0.9882;-8.1841;-2.8005;0.9036;3.3074;1.6316;0.3726;-1.2438;0.6217;29182;2022-04-09 18:35:03:099
-1.5571;-7.1411;-0.0993;0.0;0.0;0.0;0.336;-0.1087;-0.3138;29283;2022-04-09 18:35:03:200
-3.5447;-9.1241;0.9571;1.0179;3.3355;1.0821;0.5295;1.9469;-0.235;29383;2022-04-09 18:35:03:300
-3.5447;-9.1241;0.9571;1.0179;3.3355;1.0821;0.5295;1.9469;-0.235;29588;2022-04-09 18:35:03:505
-3.5447;-9.1241;0.9571;1.0179;3.3355;1.0821;0.5295;1.9469;-0.235;29589;2022-04-09 18:35:03:506
2.6659;-9.5731;0.3766;0.0;0.0;0.0;0.3143;1.5508;0.0012;29683;2022-04-09 18:35:03:600
0.6153;-10.2867;-11.6752;-0.0718;-0.9501;-0.4389;0.2587;7.9415;-1.7482;29785;2022-04-09 18:35:03:702
-3.0132;-13.7321;3.0763;-5.5301;-1.3562;-2.5695;-0.8103;-1.1618;-1.4566;29888;2022-04-09 18:35:03:805
-2.3578;-6.3984;-3.9876;-5.1346;-1.141;6.303;1.118;1.2959;-0.6148;29984;2022-04-09 18:35:03:901
-3.8118;-6.4875;0.0721;-1.8412;4.6517;-0.7585;0.5979;-0.8451;0.1994;30084;2022-04-09 18:35:04:001
3.3066;-12.7693;-5.1203;-1.4095;0.9888;-0.3747;1.6342;1.7655;1.1201;30184;2022-04-09 18:35:04:101
-4.6567;-15.536;-2.8403;-0.8704;-4.8223;-3.1476;-0.7665;0.261;-0.4963;30284;2022-04-09 18:35:04:201
-3.0757;-3.9808;0.8722;-5.3709;0.497;0.3677;-1.1145;1.1232;-0.1014;30384;2022-04-09 18:35:04:301
-3.3975;-8.3569;0.0748;-3.9613;3.5249;2.7648;0.0985;2.9174;0.3798;30484;2022-04-09 18:35:04:401
-2.225;-10.4689;-0.2521;-0.4405;0.5881;1.1447;-1.1478;-0.9161;2.1613;30584;2022-04-09 18:35:04:501
2.3318;-7.9229;1.1261;5.3064;-0.0838;1.8597;1.3845;1.771;0.562;30683;2022-04-09 18:35:04:600
2.6324;-9.6939;1.0433;5.144;1.5349;0.2496;0.706;4.9037;-1.7574;30788;2022-04-09 18:35:04:705
-7.2102;-10.5658;-14.6818;2.3068;-2.797;0.9008;3.0115;9.1945;-2.0505;30884;2022-04-09 18:35:04:801
-1.276;-7.9561;2.9384;-2.4121;0.7194;1.292;-0.319;1.125;0.5223;30989;2022-04-09 18:35:04:906
-0.7801;-8.8747;1.1767;1.3116;3.5673;3.4932;0.7776;2.5987;0.3661;31083;2022-04-09 18:35:05:000
-0.9206;-14.9563;1.3896;1.5288;-1.3159;-0.4389;2.7616;3.2633;0.8182;31183;2022-04-09 18:35:05:100
-1.9047;-8.1509;-1.6442;3.6754;-7.6986;-0.3137;1.7962;4.3845;-0.9477;31284;2022-04-09 18:35:05:201
-2.12;-11.1021;1.4524;0.4037;-0.5302;-0.6978;-0.6608;0.2923;-0.3433;31385;2022-04-09 18:35:05:302
-2.5295;-9.8192;2.0417;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31483;2022-04-09 18:35:05:400
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31832;2022-04-09 18:35:05:749
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31833;2022-04-09 18:35:05:750
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31834;2022-04-09 18:35:05:751
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31835;2022-04-09 18:35:05:752
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31835;2022-04-09 18:35:05:752
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31836;2022-04-09 18:35:05:753
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31836;2022-04-09 18:35:05:753
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31836;2022-04-09 18:35:05:753
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31836;2022-04-09 18:35:05:753
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31836;2022-04-09 18:35:05:753
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31837;2022-04-09 18:35:05:754
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31837;2022-04-09 18:35:05:754
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31837;2022-04-09 18:35:05:754
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31837;2022-04-09 18:35:05:754
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31837;2022-04-09 18:35:05:754
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31837;2022-04-09 18:35:05:754
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31837;2022-04-09 18:35:05:754
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31838;2022-04-09 18:35:05:755
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31838;2022-04-09 18:35:05:755
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31838;2022-04-09 18:35:05:755
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31838;2022-04-09 18:35:05:755
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31838;2022-04-09 18:35:05:755
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31838;2022-04-09 18:35:05:755
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31839;2022-04-09 18:35:05:756
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31839;2022-04-09 18:35:05:756
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31839;2022-04-09 18:35:05:756
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31839;2022-04-09 18:35:05:756
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31839;2022-04-09 18:35:05:756
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31839;2022-04-09 18:35:05:756
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31840;2022-04-09 18:35:05:757
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31840;2022-04-09 18:35:05:757
-1.2763;-9.4807;0.0903;-0.6807;0.0273;2.6786;-0.1232;3.2631;0.3343;31840;2022-04-09 18:35:05:757
-2.6393;-8.219;0.7137;0.0;0.0;0.0;-0.9102;2.3594;-1.6129;31884;2022-04-09 18:35:05:801
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32262;2022-04-09 18:35:06:179
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32263;2022-04-09 18:35:06:180
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32264;2022-04-09 18:35:06:181
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32264;2022-04-09 18:35:06:181
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32264;2022-04-09 18:35:06:181
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32264;2022-04-09 18:35:06:181
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32264;2022-04-09 18:35:06:181
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32264;2022-04-09 18:35:06:181
0.125;-10.1749;0.909;0.0;0.0;0.0;1.4389;-1.7667;0.4383;32273;2022-04-09 18:35:06:190
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32286;2022-04-09 18:35:06:203
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32286;2022-04-09 18:35:06:203
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32287;2022-04-09 18:35:06:204
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32287;2022-04-09 18:35:06:204
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32287;2022-04-09 18:35:06:204
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32287;2022-04-09 18:35:06:204
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32287;2022-04-09 18:35:06:204
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32287;2022-04-09 18:35:06:204
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32287;2022-04-09 18:35:06:204
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32288;2022-04-09 18:35:06:205
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32288;2022-04-09 18:35:06:205
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32288;2022-04-09 18:35:06:205
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32288;2022-04-09 18:35:06:205
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32288;2022-04-09 18:35:06:205
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32288;2022-04-09 18:35:06:205
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32288;2022-04-09 18:35:06:205
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32289;2022-04-09 18:35:06:206
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32289;2022-04-09 18:35:06:206
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32289;2022-04-09 18:35:06:206
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32289;2022-04-09 18:35:06:206
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32289;2022-04-09 18:35:06:206
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32289;2022-04-09 18:35:06:206
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32289;2022-04-09 18:35:06:206
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32290;2022-04-09 18:35:06:207
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32290;2022-04-09 18:35:06:207
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32290;2022-04-09 18:35:06:207
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32290;2022-04-09 18:35:06:207
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32290;2022-04-09 18:35:06:207
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32290;2022-04-09 18:35:06:207
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32290;2022-04-09 18:35:06:207
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32290;2022-04-09 18:35:06:207
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32291;2022-04-09 18:35:06:208
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32291;2022-04-09 18:35:06:208
-4.8547;-12.62;-0.1893;9.6802;-6.3391;-3.1065;-0.1668;-0.2575;-0.3873;32291;2022-04-09 18:35:06:208
-3.5339;-10.7931;0.553;0.0;0.0;0.0;-0.6235;-0.1833;0.6244;32383;2022-04-09 18:35:06:300
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32733;2022-04-09 18:35:06:650
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32733;2022-04-09 18:35:06:650
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32734;2022-04-09 18:35:06:651
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32734;2022-04-09 18:35:06:651
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32734;2022-04-09 18:35:06:651
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32734;2022-04-09 18:35:06:651
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32734;2022-04-09 18:35:06:651
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32735;2022-04-09 18:35:06:652
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32735;2022-04-09 18:35:06:652
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32735;2022-04-09 18:35:06:652
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32736;2022-04-09 18:35:06:653
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32737;2022-04-09 18:35:06:654
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32737;2022-04-09 18:35:06:654
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32738;2022-04-09 18:35:06:655
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32738;2022-04-09 18:35:06:655
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32738;2022-04-09 18:35:06:655
-1.2574;-7.617;1.2631;3.9334;-1.6854;-0.5592;-1.3726;-3.1901;-0.4884;32738;2022-04-09 18:35:06:655
